Address hex,Data hex,Meaning
72,00,Reserved/unused: zero
73,00,Reserved/unused: zero
74,00,Reserved/unused: zero
75,00,Reserved/unused: zero
76,00,Reserved/unused: zero
77,00,Reserved/unused: zero
78,00,Reserved/unused: zero
79,00,Reserved/unused: zero
7A,00,Reserved/unused: zero
7B,00,Reserved/unused: zero
7C,00,Reserved/unused: zero
7D,00,Reserved/unused: zero
7E,00,Reserved/unused: zero
7F,00,Reserved/unused: zero
80,00,Reserved/unused: zero
81,00,Reserved/unused: zero
82,00,Reserved/unused: zero
83,00,Reserved/unused: zero
84,00,Reserved/unused: zero
85,00,Reserved/unused: zero
86,00,Reserved/unused: zero
87,00,Reserved/unused: zero
88,00,Reserved/unused: zero
89,00,Reserved/unused: zero
8A,00,Reserved/unused: zero
8B,00,Reserved/unused: zero
8C,00,Reserved/unused: zero
8D,00,Reserved/unused: zero
8E,00,Reserved/unused: zero
8F,00,Reserved/unused: zero
90,00,Reserved/unused: zero
91,00,Reserved/unused: zero
92,00,Reserved/unused: zero
93,00,Reserved/unused: zero
94,00,Reserved/unused: zero
95,00,Reserved/unused: zero
96,00,Reserved/unused: zero
97,00,Reserved/unused: zero
98,00,Reserved/unused: zero
99,00,Reserved/unused: zero
9A,00,Reserved/unused: zero
9B,00,Reserved/unused: zero
9C,00,Reserved/unused: zero
9D,00,Reserved/unused: zero
9E,00,Reserved/unused: zero
9F,00,Reserved/unused: zero
A0,00,Reserved/unused: zero
A1,00,Reserved/unused: zero
A2,00,Reserved/unused: zero
A3,00,Reserved/unused: zero
A4,00,Reserved/unused: zero
A5,00,Reserved/unused: zero
A6,00,Reserved/unused: zero
A7,00,Reserved/unused: zero
A8,00,Reserved/unused: zero
A9,00,Reserved/unused: zero
AA,00,Reserved/unused: zero
AB,00,Reserved/unused: zero
AC,00,Reserved/unused: zero
AD,00,Reserved/unused: zero
AE,00,Reserved/unused: zero
AF,00,Reserved/unused: zero
B0,00,Reserved/unused: zero
B1,00,Reserved/unused: zero
B2,00,Reserved/unused: zero
B3,00,Reserved/unused: zero
B4,00,Reserved/unused: zero
B5,00,Reserved/unused: zero
B6,00,Reserved/unused: zero
B7,00,Reserved/unused: zero
B8,00,Reserved/unused: zero
B9,00,Reserved/unused: zero
BA,00,Reserved/unused: zero
BB,00,Reserved/unused: zero
BC,00,Reserved/unused: zero
BD,00,Reserved/unused: zero
BE,00,Reserved/unused: zero
BF,00,Reserved/unused: zero
C0,00,Reserved/unused: zero
C1,00,Reserved/unused: zero
C2,00,Reserved/unused: zero
C3,00,Reserved/unused: zero
C4,00,Reserved/unused: zero
C5,00,Reserved/unused: zero
C6,00,Reserved/unused: zero
C7,00,Reserved/unused: zero
C8,00,Reserved/unused: zero
C9,00,Reserved/unused: zero
CA,00,Reserved/unused: zero
CB,00,Reserved/unused: zero
CC,00,Reserved/unused: zero
CD,00,Reserved/unused: zero
CE,00,Reserved/unused: zero
CF,00,Reserved/unused: zero
D0,00,Battery charging disabled on every port
D1,00,Reserved/unused: zero
D2,00,Reserved/unused: zero
D3,00,Reserved/unused: zero
D4,00,Reserved/unused: zero
D5,00,Reserved/unused: zero
D6,00,Reserved/unused: zero
D7,00,Reserved/unused: zero
D8,00,Reserved/unused: zero
D9,00,Reserved/unused: zero
DA,00,Reserved/unused: zero
DB,00,Reserved/unused: zero
DC,00,Reserved/unused: zero
DD,00,Reserved/unused: zero
DE,00,Reserved/unused: zero
DF,00,Reserved/unused: zero
E0,00,Reserved/unused: zero
E1,00,Reserved/unused: zero
E2,00,Reserved/unused: zero
E3,00,Reserved/unused: zero
E4,00,Reserved/unused: zero
E5,00,Reserved/unused: zero
E6,00,Reserved/unused: zero
E7,00,Reserved/unused: zero
E8,00,Reserved/unused: zero
E9,00,Reserved/unused: zero
EA,00,Reserved/unused: zero
EB,00,Reserved/unused: zero
EC,00,Reserved/unused: zero
ED,00,Reserved/unused: zero
EE,00,Reserved/unused: zero
EF,00,Reserved/unused: zero
F0,00,Reserved/unused: zero
F1,00,Reserved/unused: zero
F2,00,Reserved/unused: zero
F3,00,Reserved/unused: zero
F4,00,Reserved/unused: zero
F5,00,Reserved/unused: zero
F6,00,Reserved/unused: zero
F7,00,Reserved/unused: zero
F8,00,Reserved/unused: zero
F9,00,Reserved/unused: zero
FA,00,No upstream or downstream differential polarity swaps
FB,00,Port remapping disabled
FC,00,Port remapping disabled
FD,00,Reserved/unused: zero
FE,00,Reserved/unused: zero
FF,00,SMBus-only status/attach register not used in EEPROM mode
